Date,Open,High,Low,Close,Adj Close,Volume
2012-03-01,87.720001,90.000000,84.830002,89.209999,72.963280,60428600
2012-04-01,88.790001,89.750000,84.440002,89.360001,73.085953,54391500
2012-05-01,89.129997,89.949997,82.949997,84.410004,69.037445,59884200
2012-06-01,83.050003,89.599998,81.989998,89.599998,73.789772,65465700
2012-07-01,89.290001,92.080002,85.339996,91.230003,75.132164,65037800
2012-08-01,91.650002,94.300003,89.230003,92.599998,76.260414,48767200
2012-09-01,92.029999,94.099998,90.459999,92.419998,76.597015,65053500
2012-10-01,92.900002,95.459999,87.410004,87.599998,72.602249,68655700
2012-11-01,87.940002,91.970001,86.739998,90.949997,75.378700,58270800
2012-12-01,91.410004,94.139999,89.599998,92.849998,77.463661,54850200
2013-01-01,94.190002,101.949997,93.959999,100.550003,83.887688,62614800
2013-02-01,101.440002,104.559998,100.580002,104.000000,86.765961,47905000
2013-03-01,103.389999,106.879997,102.589996,106.309998,89.240906,50128700
2013-04-01,106.000000,108.720001,102.889999,104.709999,87.897789,67230500
2013-05-01,104.779999,112.379997,104.419998,110.269997,92.565086,62323200
2013-06-01,110.699997,113.250000,107.150002,109.349998,92.316147,53296100
2013-07-01,108.370003,118.599998,108.209999,117.430000,99.137505,52519700
2013-08-01,118.379997,119.260002,112.360001,113.580002,95.887230,44047400
2013-09-01,114.570000,122.269997,112.849998,119.410004,101.366760,53217500
2013-10-01,119.690002,126.379997,116.650002,125.849998,106.833641,54356200
2013-11-01,126.760002,134.160004,124.860001,133.509995,113.336182,45827900
2013-12-01,131.669998,140.429993,125.150002,140.250000,119.641968,73382000
2014-01-01,138.050003,139.289993,126.419998,128.190002,109.354034,60369400
2014-02-01,128.220001,135.199997,123.610001,134.729996,114.933037,62329700
2014-03-01,133.070007,135.869995,129.699997,135.660004,116.486809,60219300
2014-04-01,135.880005,139.520004,132.020004,139.089996,119.432022,52411200
2014-05-01,139.500000,143.369995,138.649994,142.550003,122.403008,48494200
2014-06-01,142.270004,145.529999,141.610001,143.240005,123.749985,35654200
2014-07-01,143.410004,146.429993,140.600006,140.889999,121.719749,43313100
2014-08-01,140.149994,145.389999,138.429993,144.000000,124.406570,41032800
2014-09-01,143.300003,147.869995,140.660004,141.679993,123.132103,51777700
2014-10-01,141.160004,154.440002,130.600006,153.770004,133.639374,84979600
2014-11-01,153.139999,160.860001,152.979996,160.089996,139.131989,41063300
2014-12-01,158.350006,168.160004,155.589996,164.320007,143.574707,53439800
2015-01-01,164.710007,166.570007,157.740005,162.300003,141.809723,54725300
2015-02-01,162.119995,169.979996,160.889999,168.649994,147.358032,37365500
2015-03-01,168.160004,170.500000,161.210007,164.949997,145.021591,48144100
2015-04-01,164.289993,167.699997,156.009995,156.389999,137.495773,53240700
2015-05-01,156.789993,163.770004,156.550003,159.080002,139.860779,42817400
2015-06-01,159.100006,160.869995,153.919998,154.300003,136.516129,48517200
2015-07-01,156.130005,157.940002,147.699997,151.339996,133.897263,54769600
2015-08-01,150.789993,153.240005,134.000000,142.139999,125.757614,59225400
2015-09-01,139.479996,145.550003,135.389999,141.770004,126.303185,65251700
2015-10-01,142.210007,158.679993,138.570007,157.210007,140.058716,54367800
2015-11-01,157.509995,160.089996,155.600006,156.580002,139.497452,42405000
2015-12-01,156.410004,158.690002,146.690002,150.639999,135.087250,61116800
2016-01-01,148.050003,151.000000,134.639999,151.000000,135.410065,63783100
2016-02-01,149.330002,159.500000,146.050003,156.869995,140.674026,52788500
2016-03-01,158.750000,167.500000,157.610001,166.630005,150.505981,48587700
2016-04-01,165.630005,170.770004,164.649994,167.380005,151.183411,38822200
2016-05-01,167.300003,171.270004,163.169998,168.320007,152.032455,36443000
2016-06-01,167.779999,175.139999,165.160004,175.119995,159.227661,46954200
2016-07-01,175.139999,182.270004,173.509995,178.360001,162.173630,38585200
2016-08-01,177.080002,181.470001,177.080002,179.240005,162.973785,30878700
2016-09-01,179.309998,181.660004,174.389999,176.229996,161.235397,38143300
2016-10-01,175.330002,175.949997,165.110001,165.300003,151.235352,41884100
2016-11-01,165.399994,175.509995,163.850006,171.740005,157.127426,43844700
2016-12-01,171.639999,180.059998,171.089996,178.490005,164.350067,43415800
2017-01-01,178.830002,180.000000,173.809998,174.820007,160.970810,37982900
2017-02-01,175.169998,188.410004,173.550003,186.350006,171.587433,38913300
2017-03-01,188.080002,193.500000,188.009995,191.330002,177.320206,44760300
2017-04-01,191.869995,197.119995,188.619995,195.830002,181.490723,34994300
2017-05-01,195.500000,204.470001,193.539993,204.470001,189.498077,40020700
2017-06-01,204.250000,214.570007,203.679993,208.190002,194.098053,40515600
2017-07-01,209.139999,213.410004,197.169998,201.169998,187.553223,35520800
2017-08-01,202.289993,208.630005,201.330002,204.320007,190.489975,34874400
2017-09-01,204.610001,214.649994,200.509995,209.899994,196.817871,35746200
2017-10-01,210.729996,238.899994,210.029999,230.190002,215.843292,46169500
2017-11-01,231.000000,243.449997,226.039993,243.139999,227.986176,34753400
2017-12-01,243.190002,244.229996,234.279999,235.369995,221.813843,38798800
2018-01-01,235.779999,259.769989,232.809998,250.500000,236.072403,49095800
2018-02-01,247.440002,250.089996,218.179993,235.509995,221.945770,58411400
2018-03-01,236.149994,243.100006,214.729996,219.520004,208.096573,55656900
2018-04-01,218.050003,221.690002,194.179993,194.389999,184.274323,67396900
2018-05-01,194.029999,206.039993,191.440002,197.229996,186.966507,64993100
2018-06-01,198.750000,206.789993,193.639999,196.720001,187.758469,52817200
2018-07-01,195.460007,212.779999,190.570007,212.320007,202.647812,51342100
2018-08-01,210.979996,211.720001,197.110001,210.919998,201.311584,39291800
2018-09-01,210.550003,217.869995,205.899994,210.710007,202.459167,45069500
2018-10-01,212.399994,217.339996,181.979996,190.259995,182.809921,67294100
2018-11-01,190.610001,209.770004,190.089996,207.919998,199.778412,51077500
2018-12-01,211.210007,211.949997,176.869995,190.539993,184.329224,51330100
2019-01-01,187.820007,200.889999,182.889999,200.300003,193.771103,53042200
2019-02-01,201.490005,211.589996,196.250000,207.389999,200.629974,36859800
2019-03-01,208.809998,210.539993,198.000000,207.779999,202.396973,47486500
2019-04-01,209.889999,219.750000,186.550003,189.509995,184.600311,54909300
2019-05-01,189.490005,189.710007,159.630005,159.750000,155.611313,94604800
2019-06-01,159.750000,174.559998,159.320007,173.339996,170.293930,56425800
2019-07-01,175.460007,187.720001,164.289993,174.720001,171.649689,62578400
2019-08-01,174.789993,177.669998,154.000000,161.720001,158.878128,63240300
2019-09-01,161.399994,172.479996,157.259995,164.399994,162.988922,51261300
2019-10-01,165.000000,169.949997,150.580002,164.990005,163.573868,67404900
2019-11-01,166.940002,176.710007,164.509995,169.770004,168.312836,48542800
2019-12-01,170.160004,171.990005,162.720001,169.929993,169.929993,31520600
